snapshot,snapshot_date,universe_size,rank_ic,extreme_spread_percent,top_two,bottom_two
2023-01-31,2023-01-31,9,0.6666666666666666,2.1315194554587764,CHF+SEK,CAD+NZD
2023-02-28,2023-02-28,9,-0.13333333333333333,-0.5006069968513178,AUD+CHF,EUR+USD
2023-03-31,2023-03-31,9,-0.36666666666666664,-2.156394677218368,NOK+NZD,CAD+GBP
2023-04-30,2023-04-30,9,-0.05,-0.20765783507943625,GBP+NZD,CAD+EUR
2023-05-31,2023-05-31,9,0.43333333333333335,1.8802017053799855,CHF+NOK,NZD+SEK
2023-06-30,2023-06-30,9,0.016666666666666666,-1.1533207899067293,CAD+NZD,CHF+EUR
2023-07-31,2023-07-31,8,-0.07142857142857142,0.15012669822958946,GBP+NOK,CAD+NZD
2023-08-31,2023-08-31,8,-0.11904761904761904,-1.4097476847151138,CAD+CHF,AUD+SEK
2023-09-30,2023-09-30,8,-0.047619047619047616,1.8231020236296565,SEK+USD,GBP+NOK
2023-10-31,2023-10-31,8,-0.47619047619047616,-2.655764393241699,CAD+CHF,NOK+SEK
2023-11-30,2023-11-30,8,-0.3333333333333333,-0.7154951306665182,CHF+USD,GBP+NOK
2023-12-31,2023-12-31,7,0.0,-0.57768509705537,NOK+NZD,CAD+SEK
2024-01-31,2024-01-31,7,-0.4642857142857143,-1.1874297143015333,CHF+NOK,AUD+SEK
2024-02-29,2024-02-29,8,0.07142857142857142,1.12487559127309,GBP+USD,AUD+CHF
2024-03-31,2024-03-31,7,0.6428571428571429,1.0327057307798224,CAD+USD,CHF+NOK
2024-04-30,2024-04-30,5,-0.6,-2.3436811311948063,CAD+USD,CHF+SEK
2024-05-31,2024-05-31,6,0.6,0.9258601834707054,CAD+USD,NOK+SEK
2024-06-30,2024-06-30,8,-0.047619047619047616,-0.5073427851831444,CHF+NZD,CAD+GBP
2024-07-31,2024-07-31,8,0.23809523809523808,0.7560377131782035,AUD+NZD,NOK+SEK
2024-08-31,2024-08-31,8,0.023809523809523808,-0.034771683738544,AUD+SEK,GBP+NZD
2024-09-30,2024-09-30,8,-0.19047619047619047,-0.108454884309936,CAD+GBP,SEK+USD
2024-10-31,2024-10-31,8,-0.14285714285714285,-0.6701727956496049,GBP+NOK,CAD+NZD
2024-11-30,2024-11-30,8,0.3333333333333333,3.0292455667421354,CHF+GBP,AUD+NZD
2024-12-31,2024-12-31,8,-0.38095238095238093,-0.4826226552727899,GBP+USD,CHF+NOK
2025-01-31,2025-01-31,8,-0.2619047619047619,-0.8017304785795067,CAD+NZD,CHF+NOK
2025-02-28,2025-02-28,8,0.11904761904761904,2.053091226482037,SEK+USD,AUD+CHF
2025-03-31,2025-03-31,8,-0.2619047619047619,-0.4812507409927066,CAD+NOK,AUD+NZD
2025-04-30,2025-04-30,8,-0.5238095238095238,-0.9989364278042067,CAD+SEK,NOK+NZD
2025-05-31,2025-05-31,8,0.07142857142857142,-0.8633052850734293,NZD+SEK,CAD+CHF
2025-06-30,2025-06-30,7,0.5714285714285714,0.6543719645537571,CAD+CHF,NOK+SEK
2025-07-31,2025-07-31,4,0.0,-0.6565400099952765,NOK+USD,CAD+SEK
